user_id,commodity,role,city,state,min_quantity_mt,max_quantity_mt
1,rice,trader,Nagpur,Maharashtra,50,200
2,sugar,broker,Nagpur,Maharashtra,20,100
3,cotton,exporter,Nagpur,Maharashtra,100,500
4,rice;sugar,trader,Nagpur,Maharashtra,30,150
5,cotton;sugar,broker,Nagpur,Maharashtra,40,180
6,rice,exporter,Nagpur,Maharashtra,60,220
7,rice;cotton,trader,Nagpur,Maharashtra,70,250
8,sugar,broker,Nagpur,Maharashtra,25,110
9,rice,exporter,Nagpur,Maharashtra,80,300
10,cotton,trader,Nagpur,Maharashtra,90,350
11,rice,trader,Mumbai,Maharashtra,50,200
12,sugar,broker,Pune,Maharashtra,20,100
13,cotton,exporter,Ahmedabad,Gujarat,100,500
14,rice;sugar,trader,Surat,Gujarat,30,150
15,cotton;sugar,broker,Indore,Madhya Pradesh,40,180
16,rice,exporter,Bhopal,Madhya Pradesh,60,220
17,rice;cotton,trader,Jaipur,Rajasthan,70,250
18,sugar,broker,Udaipur,Rajasthan,25,110
19,rice,exporter,Delhi,Delhi,80,300
20,cotton,trader,Noida,Uttar Pradesh,90,350
21,rice,trader,Lucknow,Uttar Pradesh,40,200
22,sugar,broker,Kanpur,Uttar Pradesh,30,140
23,cotton,exporter,Patna,Bihar,120,450
24,rice;sugar,trader,Chandigarh,Chandigarh,45,160
25,cotton;sugar,broker,Ludhiana,Punjab,35,180
26,rice,exporter,Amritsar,Punjab,60,240
27,rice;cotton,trader,Hyderabad,Telangana,75,280
28,sugar,broker,Warangal,Telangana,20,100
29,rice,exporter,Bangalore,Karnataka,85,320
30,cotton,trader,Mysore,Karnataka,95,360
31,rice,trader,Chennai,Tamil Nadu,55,210
32,sugar,broker,Coimbatore,Tamil Nadu,25,120
33,cotton,exporter,Madurai,Tamil Nadu,130,520
34,rice;sugar,trader,Kochi,Kerala,45,160
35,cotton;sugar,broker,Trivandrum,Kerala,35,190
36,rice,exporter,Kolkata,West Bengal,60,260
37,rice;cotton,trader,Howrah,West Bengal,70,280
38,sugar,broker,Bhubaneswar,Odisha,20,110
39,rice,exporter,Cuttack,Odisha,80,300
40,cotton,trader,Ranchi,Jharkhand,90,340
41,rice,trader,Raipur,Chhattisgarh,50,220
42,sugar,broker,Bilaspur,Chhattisgarh,30,150
43,cotton,exporter,Guwahati,Assam,100,480
44,rice;sugar,trader,Shillong,Meghalaya,40,170
45,cotton;sugar,broker,Imphal,Manipur,35,180
46,rice,exporter,Agartala,Tripura,60,250
47,rice;cotton,trader,Aizawl,Mizoram,75,290
48,sugar,broker,Kohima,Nagaland,20,100
49,rice,exporter,Itanagar,Arunachal Pradesh,85,330
50,cotton,trader,Gangtok,Sikkim,95,350
51,rice,trader,Dehradun,Uttarakhand,55,200
52,sugar,broker,Haridwar,Uttarakhand,25,120
53,cotton,exporter,Shimla,Himachal Pradesh,120,500
54,rice;sugar,trader,Solan,Himachal Pradesh,45,170
55,cotton;sugar,broker,Srinagar,Jammu and Kashmir,35,190
56,rice,exporter,Jammu,Jammu and Kashmir,65,260
57,rice;cotton,trader,Leh,Ladakh,75,280
58,sugar,broker,Kargil,Ladakh,20,110
59,rice,exporter,Panaji,Goa,80,300
60,cotton,trader,Margao,Goa,90,350
61,rice,trader,Daman,Daman and Diu,50,200
62,sugar,broker,Silvassa,Dadra and Nagar Haveli,30,140
63,cotton,exporter,Port Blair,Andaman and Nicobar,110,480
64,rice;sugar,trader,Kavaratti,Lakshadweep,40,160
65,cotton;sugar,broker,Ahmednagar,Maharashtra,35,180
66,rice,exporter,Nashik,Maharashtra,60,240
67,rice;cotton,trader,Aurangabad,Maharashtra,75,290
68,sugar,broker,Kolhapur,Maharashtra,20,100
69,rice,exporter,Solapur,Maharashtra,85,320
70,cotton,trader,Sangli,Maharashtra,95,360
71,rice,trader,Satara,Maharashtra,50,210
72,sugar,broker,Jalgaon,Maharashtra,30,150
73,cotton,exporter,Dhule,Maharashtra,120,520
74,rice;sugar,trader,Latur,Maharashtra,45,170
75,cotton;sugar,broker,Nanded,Maharashtra,35,180
76,rice,exporter,Akola,Maharashtra,65,250
77,rice;cotton,trader,Amravati,Maharashtra,75,290
78,sugar,broker,Yavatmal,Maharashtra,20,100
79,rice,exporter,Bhandara,Maharashtra,85,330
80,cotton,trader,Gondia,Maharashtra,95,350
81,rice,trader,Chandrapur,Maharashtra,55,220
82,sugar,broker,Gadchiroli,Maharashtra,25,120
83,cotton,exporter,Wardha,Maharashtra,130,540
84,rice;sugar,trader,Beed,Maharashtra,45,170
85,cotton;sugar,broker,Osmanabad,Maharashtra,35,180
86,rice,exporter,Parbhani,Maharashtra,65,260
87,rice;cotton,trader,Hingoli,Maharashtra,75,280
88,sugar,broker,Washim,Maharashtra,20,100
89,rice,exporter,Buldhana,Maharashtra,85,320
90,cotton,trader,Palghar,Maharashtra,95,360
91,rice,trader,Thane,Maharashtra,55,210
92,sugar,broker,Navi Mumbai,Maharashtra,25,120
93,cotton,exporter,Ulhasnagar,Maharashtra,120,500
94,rice;sugar,trader,Kalyan,Maharashtra,45,170
95,cotton;sugar,broker,Dombivli,Maharashtra,35,180
96,rice,exporter,Virar,Maharashtra,65,260
97,rice;cotton,trader,Panvel,Maharashtra,75,280
98,sugar,broker,Alibaug,Maharashtra,20,100
99,rice,exporter,Ratnagiri,Maharashtra,85,330
100,cotton,trader,Sindhudurg,Maharashtra,95,350
